Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text
curls-tee,Curls — Unisex Tee,"<p>Heavyweight cotton t-shirt, relaxed classic fit. Reinforced double-needle stitching and taped seams. Born from the track <em>Curls</em> by DJ Huevo.</p>",DJ Huevo,T-Shirt,"music-merch, tee, curls",TRUE,Color,Black,Size,S,CURLS-TEE-BLK-S,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,CURLS-TEE-BLK-M,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,L,CURLS-TEE-BLK-L,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,XL,CURLS-TEE-BLK-XL,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,2XL,CURLS-TEE-BLK-2XL,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,CURLS-TEE-WHT-S,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,M,CURLS-TEE-WHT-M,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,L,CURLS-TEE-WHT-L,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Navy,Size,S,CURLS-TEE-NAV-S,200,shopify,14.00,,TRUE,TRUE,,,
curls-tee,Curls — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Navy,Size,M,CURLS-TEE-NAV-M,200,shopify,14.00,,TRUE,TRUE,,,
el-nino-tee,El Niño — Unisex Tee,"<p>Heavyweight cotton tee inspired by the track <em>El Niño</em> feat. AVI. DJ Huevo official merch.</p>",DJ Huevo,T-Shirt,"music-merch, tee, el-nino",TRUE,Color,Black,Size,S,ELNINO-TEE-BLK-S,200,shopify,25.00,,TRUE,TRUE,,,
el-nino-tee,El Niño — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,ELNINO-TEE-BLK-M,200,shopify,25.00,,TRUE,TRUE,,,
el-nino-tee,El Niño — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,L,ELNINO-TEE-BLK-L,200,shopify,25.00,,TRUE,TRUE,,,
el-nino-tee,El Niño — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,ELNINO-TEE-WHT-S,200,shopify,25.00,,TRUE,TRUE,,,
el-nino-tee,El Niño — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,M,ELNINO-TEE-WHT-M,200,shopify,25.00,,TRUE,TRUE,,,
anymore-tee,ANYMORE — Unisex Tee,"<p>Heavyweight cotton tee from the DJ Huevo catalog. Track: <em>ANYMORE</em>.</p>",DJ Huevo,T-Shirt,"music-merch, tee, anymore",TRUE,Color,Black,Size,S,ANYMORE-TEE-BLK-S,200,shopify,25.00,,TRUE,TRUE,,,
anymore-tee,ANYMORE — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,ANYMORE-TEE-BLK-M,200,shopify,25.00,,TRUE,TRUE,,,
anymore-tee,ANYMORE — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,ANYMORE-TEE-WHT-S,200,shopify,25.00,,TRUE,TRUE,,,
anymore-tee,ANYMORE — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,M,ANYMORE-TEE-WHT-M,200,shopify,25.00,,TRUE,TRUE,,,
to-all-my-haters-tee,To All My Haters — Unisex Tee,"<p>Official DJ Huevo tee. Track: <em>To All My Haters</em>.</p>",DJ Huevo,T-Shirt,"music-merch, tee",TRUE,Color,Black,Size,S,TAMH-TEE-BLK-S,200,shopify,25.00,,TRUE,TRUE,,,
